system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo,NDVI_hist_mean,NDVI_hist_std,NDVI_zscore
7,35.5426564402922,0.1119978621617866,0.3782456780427974,2019-08,Bid,1,8.0,97.02938011196598,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,0.06662951102008095
8,32.22948661893372,0.1595417029645548,0.4687768983612196,2019-09,Bid,1,9.0,269.4779139103599,56,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.39827204878144595,0.12238488072809628,0.5760911736835777
9,31.99400362402596,0.1476684786563946,0.4322701296234056,2019-10,Bid,1,10.0,216.25903431177176,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,-0.14148640251639505
10,31.67169982228993,0.1181516174622805,0.4848405407794391,2019-11,Bid,1,11.0,24.62471490130613,60,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42628887169823565,0.0705724036269663,0.8296680582214204
11,29.6386434796687,0.0942919045358735,0.3917571162521023,2019-12,Bid,1,12.0,3.928243782012641,67,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.02836110047277081,-0.9198328325740146
12,30.79404248716915,0.0500767157194341,0.3894742534327984,2020-01,Bid,1,1.0,0.0716944475551763,64,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.36267329609315063,0.057439538546204066,0.46659423139496875
13,35.5056168754403,0.0038853789674575,0.3146855762507902,2020-02,Bid,1,2.0,0.0,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.30347619000940657,0.05167677565181831,0.2169134219384914
14,42.024190638044736,-0.0379132109808048,0.2616060847153736,2020-03,Bid,1,3.0,6.629897318811858,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23094951831293953,0.03997058760411016,0.7669781266683625
15,48.46597622364681,-0.0684458082381143,0.2274397479299865,2020-04,Bid,1,4.0,6.511114092074903,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.02644436883987114,0.4593395148966694
16,47.2172226541136,-0.0701424893488637,0.1787676392327485,2020-05,Bid,1,5.0,20.623830905314705,58,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18603628834703753,0.034289161658047636,-0.21198095149646487
17,38.7315575413636,-0.0071950868015811,0.2131092343236729,2020-06,Bid,1,6.0,212.4512533275096,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16687932353201862,0.05163817973647685,0.8952660807870769
18,31.619309346107386,0.0828231487233574,0.32318892054559,2020-07,Bid,1,7.0,173.63928061131526,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.20645691654527756,0.12268666581223596,0.9514644743786848
19,30.288348986505103,0.1985326650505853,0.5110781779095586,2020-08,Bid,1,8.0,108.1987787481471,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,0.8868732135353325
20,31.264817553607102,0.1783943859260336,0.511212640329316,2020-09,Bid,1,9.0,288.324450550405,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.39827204878144595,0.12238488072809628,0.9228312425191745
21,32.41760866195533,0.1197226641407645,0.4363433170815289,2020-10,Bid,1,10.0,148.6321908067801,62,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,-0.08256479036138556
22,32.1870388706329,0.0987416167551176,0.4716143432808058,2020-11,Bid,1,11.0,5.81235079330317,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42628887169823565,0.0705724036269663,0.6422548936005196
23,31.04182843304509,0.0672807707537667,0.4347819766711271,2020-12,Bid,1,12.0,2.717477942270336,60,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.02836110047277081,0.5972049304822011
24,31.727973025825456,0.0388171355831836,0.3615115397302835,2021-01,Bid,1,1.0,1.0804362033688415,70,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.36267329609315063,0.057439538546204066,-0.020225725907122814
25,35.87306591932156,0.0077309535195162,0.327635241691631,2021-02,Bid,1,2.0,0.0258006456453495,56,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.30347619000940657,0.05167677565181831,0.46750307807515784
26,42.31783942732783,-0.0299987934535992,0.2586367034769658,2021-03,Bid,1,3.0,0.0,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23094951831293953,0.03997058760411016,0.6926889701561263
27,45.0314979316333,-0.0544641604656497,0.2279359913528374,2021-04,Bid,1,4.0,13.571817699552188,59,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2152928043753315,0.02644436883987114,0.4781050761341415
28,43.56196755404665,-0.0618084992231653,0.193232355068343,2021-05,Bid,1,5.0,63.58914398650156,64,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.18603628834703753,0.034289161658047636,0.20986417787255962
29,35.38986595823451,-0.0003588029732134385,0.2314934645010281,2021-06,Bid,1,6.0,158.72489555161334,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.16687932353201862,0.05163817973647685,1.251286185894862
30,35.98466008175356,0.0901917862815104,0.3531081410517963,2021-07,Bid,1,7.0,184.67304634058956,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.20645691654527756,0.12268666581223596,1.1953314040741718
31,30.599318372327104,0.1548361287905492,0.4556865520446158,2021-08,Bid,1,8.0,130.73422052229705,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3674555135019941,0.1619427244115797,0.5448286662041157
32,30.08082616905048,0.1381809941103589,0.4596040909870799,2021-09,Bid,1,9.0,309.6582529904326,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.39827204878144595,0.12238488072809628,0.5011406788220512
33,32.20013723083204,0.1274441458727384,0.4850885901838176,2021-10,Bid,1,10.0,84.22592658294836,66,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4420509319325591,0.0691289207669277,0.6225709554523864
34,31.02397845644371,0.0962510600029487,0.371289358823983,2021-11,Bid,1,11.0,20.00112371077139,60,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42628887169823565,0.0705724036269663,-0.7793345563936109
35,29.407029703035,0.0742663714667205,0.4552877384534256,2021-12,Bid,1,12.0,5.920437064876426,65,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4178445876348873,0.02836110047277081,1.32022912349565
36,29.45282898202651,0.0460323751045739,0.3775476856157857,2022-01,Bid,1,1.0,0.1513733488355262,58,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.36267329609315063,0.057439538546204066,0.25895732972628616
37,35.10863861332388,0.0028831784712455,0.3211084330604282,2022-02,Bid,1,2.0,0.0,56,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.30347619000940657,0.05167677565181831,0.34120246142720034
38,42.59241709001433,0.0426941514675082,0.1811415598321209,2022-03,Bid,1,3.0,0.0573820693377986,60,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.23094951831293953,0.03997058760411016,-1.2461152428916729
