system:index,LST_celsius,NDMI,NDVI,date,district,is_complete_month,month,rainfall_mm,sentinel_image_count,year,.geo,NDVI_hist_mean,NDVI_hist_std,NDVI_zscore,stress_state,NDVI_lag1,NDMI_lag1,rainfall_lag1,LST_lag1,zscore_lag1,NDVI_lag2,NDVI_rolling3_mean,rainfall_rolling3_sum,NDVI_change_lag1,target_next_state,split
79,23.329642656748625,0.1897040678843109,0.3947154413633791,2025-08,Kolhapur,1,8.0,383.8827300417343,40,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3623210703960282,0.1904494371533389,0.1700943381694994,Healthy,0.3490467107134102,0.2085646731679165,283.8861286066842,23.29683440080429,0.5237575541929432,0.4372125023188624,0.4095119956299525,831.2382129502959,-0.0881657916054521,Healthy,holdout_recent
80,24.578970943438406,0.1929634742177484,0.4645006835858781,2025-09,Kolhapur,1,9.0,177.9298974773424,44,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4242920277152968,0.1601010654803937,0.2511454608370819,Healthy,0.3947154413633791,0.1897040678843109,383.8827300417343,23.329642656748625,0.1700943381694994,0.3490467107134102,0.3936582181318839,1023.7377347477196,0.0456687306499689,Healthy,holdout_recent
81,25.85100025461307,0.1800594201451614,0.5089681417612286,2025-10,Kolhapur,1,10.0,117.44251773110716,35,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.504455639598,0.1115309708620756,0.0404596331256633,Healthy,0.4645006835858781,0.1929634742177484,177.9298974773424,24.578970943438406,0.2511454608370819,0.3947154413633791,0.4027542785542224,845.6987561257608,0.0697852422224989,Healthy,holdout_recent
82,24.828104176929177,0.1393062544988591,0.564347622260671,2025-11,Kolhapur,1,11.0,17.466209604905515,40,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5039297263243945,0.084925903279308,0.7114189381957061,Healthy,0.5089681417612286,0.1800594201451614,117.44251773110716,25.85100025461307,0.0404596331256633,0.4645006835858781,0.4560614222368286,679.2551452501838,0.0444674581753505,Healthy,holdout_recent
83,23.796392980213696,0.065968786171444,0.4845628604166372,2025-12,Kolhapur,1,12.0,0.8184162641394562,37,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4885508811775427,0.0233514546938438,-0.1707825406678773,Healthy,0.564347622260671,0.1393062544988591,17.466209604905515,24.828104176929177,0.7114189381957061,0.5089681417612286,0.512605482535926,312.8386248133549,0.0553794804994424,Healthy,holdout_recent
84,24.857293222479417,0.0101290720620401,0.4173371553491766,2026-01,Kolhapur,1,1.0,0.2232285699041277,35,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4281304506247185,0.0270525456423682,-0.3989752172763374,Healthy,0.4845628604166372,0.065968786171444,0.8184162641394562,23.796392980213696,-0.1707825406678773,0.564347622260671,0.5192928748128456,135.727143600152,-0.0797847618440338,Healthy,holdout_recent
85,27.735446007811618,-0.0042048306278667,0.393558854840948,2026-02,Kolhapur,1,2.0,1.5561238439737346,30,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3957704386882839,0.0161954953300602,-0.1365554928864076,Healthy,0.4173371553491766,0.0101290720620401,0.2232285699041277,24.857293222479417,-0.3989752172763374,0.4845628604166372,0.4887492126754948,18.507854438948986,-0.0672257050674606,Healthy,holdout_recent
86,31.18505141619068,-0.004219033354474,0.4063218420391629,2026-03,Kolhapur,1,3.0,14.645893668897424,35,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.364409053561917,0.0261848269932631,1.6006517242993092,Healthy,0.393558854840948,-0.0042048306278667,1.5561238439737346,27.735446007811618,-0.1365554928864076,0.4173371553491766,0.4318196235355873,2.597768678017205,-0.0237783005082286,Healthy,holdout_recent
87,33.01400108828202,0.0358858950299029,0.4541453939235031,2026-04,Kolhapur,1,4.0,32.77346469615656,40,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3974399856260679,0.0328081022245026,1.7283964768643292,Healthy,0.4063218420391629,-0.004219033354474,14.645893668897424,31.18505141619068,1.6006517242993092,0.393558854840948,0.4057392840764291,16.42524608277517,0.0127629871982148,Healthy,holdout_recent
88,31.553615569023425,0.0742956716297728,0.441573185419854,2026-05,Kolhapur,1,5.0,101.45682240528014,35,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4320198946057575,0.0391820643876533,0.2438179550617751,Healthy,0.4541453939235031,0.0358858950299029,32.77346469615656,33.01400108828202,1.7283964768643292,0.4063218420391629,0.418008696934538,48.9754822090276,0.0478235518843402,Healthy,holdout_recent
3,47.77035561479234,-0.145415844758461,0.2051764914400793,2019-04,Nagpur,1,4.0,10.160145608219752,87,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2383546067521396,0.0421430342770316,-0.7872740034322304,Healthy,0.2410827613299967,-0.1084191345719343,10.040583459993544,41.09872401359162,-1.137775371998918,0.3412028896568568,0.3154189026147998,33.313629751631176,-0.1001201283268601,Healthy,train
4,49.95883540644383,-0.1323671555313996,0.1771142044058081,2019-05,Nagpur,1,5.0,6.56741642254388,85,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2346292099072637,0.0508044264455251,-1.1320865035869634,Healthy,0.2051764914400793,-0.145415844758461,10.160145608219752,47.77035561479234,-0.7872740034322304,0.2410827613299967,0.2624873808089776,27.13485384558928,-0.0359062698899174,Healthy,train
5,46.42321903066979,-0.1447174238102093,0.1507044195481355,2019-06,Nagpur,1,6.0,120.76419949059022,86,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2043646446066329,0.0669717076286226,-0.8012372232773102,Healthy,0.1771142044058081,-0.1323671555313996,6.56741642254388,49.95883540644383,-1.1320865035869634,0.2051764914400793,0.2077911523919613,26.76814549075717,-0.0280622870342711,Healthy,train
6,37.73210898200777,0.0317312492404317,0.3511707145919692,2019-07,Nagpur,1,7.0,285.7145433426259,92,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2667959308069386,0.1842021167361364,0.4580554516965444,Healthy,0.1507044195481355,-0.1447174238102093,120.76419949059022,46.42321903066979,-0.8012372232773102,0.1771142044058081,0.1776650384646743,137.49176152135385,-0.0264097848576726,Healthy,train
7,26.42613797906849,0.1608578653963921,0.4006528406346366,2019-08,Nagpur,1,8.0,402.3024060489026,84,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3610318247365963,0.1530554709437067,0.258867034636173,Healthy,0.3511707145919692,0.0317312492404317,285.7145433426259,37.73210898200777,0.4580554516965444,0.1507044195481355,0.2263297795153042,413.04615925576,0.2004662950438337,Healthy,train
8,28.5965281850603,0.2158622760165919,0.4332835252141599,2019-09,Nagpur,1,9.0,429.7775755291541,82,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4059423004753628,0.1482926123383677,0.184373478271534,Healthy,0.4006528406346366,0.1608578653963921,402.3024060489026,26.42613797906849,0.258867034636173,0.3511707145919692,0.3008426582582471,808.7811488821187,0.0494821260426673,Healthy,train
9,30.524754802663143,0.2004733595570786,0.570360799792502,2019-10,Nagpur,1,10.0,44.86027340534869,95,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5590511633590886,0.0539279686742021,0.209717456664072,Healthy,0.4332835252141599,0.2158622760165919,429.7775755291541,28.5965281850603,0.184373478271534,0.4006528406346366,0.3950356934802552,1117.7945249206823,0.0326306845795233,Healthy,train
10,29.55450266438463,0.1482909945880788,0.5647106471990249,2019-11,Nagpur,1,11.0,6.710250989198912,87,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5096088420266999,0.0417703682818497,1.3191601472249437,Healthy,0.570360799792502,0.2004733595570786,44.86027340534869,30.524754802663143,0.209717456664072,0.4332835252141599,0.4680990552137662,876.9402549834055,0.137077274578342,Healthy,train
11,26.36159802067702,0.0826920694486594,0.4666999473019848,2019-12,Nagpur,1,12.0,14.432812383952822,91,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4432241690246712,0.0224225810993882,1.0469703810304851,Healthy,0.5647106471990249,0.1482909945880788,6.710250989198912,29.55450266438463,1.3191601472249437,0.570360799792502,0.522784990735229,481.3480999237017,-0.0056501525934771,Healthy,train
12,25.76643413997005,0.0731442560550403,0.4083445024841628,2020-01,Nagpur,1,1.0,10.192702513672064,93,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3958898818673215,0.0244644403941453,0.5090907626001477,Healthy,0.4666999473019848,0.0826920694486594,14.432812383952822,26.36159802067702,1.0469703810304851,0.5647106471990249,0.5339237980978372,66.00333677850043,-0.09801069989704,Healthy,train
13,30.163120369539595,0.0380734504824835,0.4318467505817771,2020-02,Nagpur,1,2.0,7.838905335625791,90,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3903991197571501,0.0312265681468542,1.3273194361194116,Healthy,0.4083445024841628,0.0731442560550403,10.192702513672064,25.76643413997005,0.5090907626001477,0.4666999473019848,0.4799183656617241,31.3357658868238,-0.0583554448178219,Healthy,train
14,35.76250159936468,-0.0706444462765654,0.3369201035576327,2020-03,Nagpur,1,3.0,30.830241079088204,90,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2848007818856896,0.0384241227500699,1.3564219022241215,Healthy,0.4318467505817771,0.0380734504824835,7.838905335625791,30.163120369539595,1.3273194361194116,0.4083445024841628,0.4356304001226416,32.46442023325068,0.0235022480976142,Healthy,train
15,43.79821840397732,-0.1306871294021144,0.2717197593692302,2020-04,Nagpur,1,4.0,8.832472398302114,88,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2383546067521396,0.0421430342770316,0.7917121581175488,Healthy,0.3369201035576327,-0.0706444462765654,30.830241079088204,35.76250159936468,1.3564219022241215,0.4318467505817771,0.3923704522078575,48.86184892838606,-0.0949266470241443,Healthy,train
16,46.00443963326208,-0.1319500808714157,0.227439329520333,2020-05,Nagpur,1,5.0,18.66031411583671,92,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2346292099072637,0.0508044264455251,-0.1415207471073429,Healthy,0.2717197593692302,-0.1306871294021144,8.832472398302114,43.79821840397732,0.7917121581175488,0.3369201035576327,0.3468288711695466,47.50161881301611,-0.0652003441884024,Healthy,train
17,39.99467685734157,-0.0698935508769616,0.2476277583088317,2020-06,Nagpur,1,6.0,254.1737712638837,84,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2043646446066329,0.0669717076286226,0.6459909002485811,Healthy,0.227439329520333,-0.1319500808714157,18.66031411583671,46.00443963326208,-0.1415207471073429,0.2717197593692302,0.2786930641490653,58.32302759322703,-0.0442804298488972,Healthy,train
18,32.313259794768854,0.1190768642368373,0.4316207622254065,2020-07,Nagpur,1,7.0,276.1941459609081,88,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2667959308069386,0.1842021167361364,0.8948042201630838,Healthy,0.2476277583088317,-0.0698935508769616,254.1737712638837,39.99467685734157,0.6459909002485811,0.227439329520333,0.2489289490661316,281.66655777802254,0.0201884287884987,Healthy,train
19,28.592801980435507,0.1855107050280208,0.5541554863163395,2020-08,Nagpur,1,8.0,571.694447554417,95,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3610318247365963,0.1530554709437067,1.2617886860821423,Healthy,0.4316207622254065,0.1190768642368373,276.1941459609081,32.313259794768854,0.8948042201630838,0.2476277583088317,0.3022292833515237,549.0282313406285,0.1839930039165748,Healthy,train
20,29.97972708967524,0.2027894258999601,0.5800082955617143,2020-09,Nagpur,1,9.0,159.32861502361666,85,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4059423004753628,0.1482926123383677,1.1738008545508327,Healthy,0.5541554863163395,0.1855107050280208,571.694447554417,28.592801980435507,1.2617886860821423,0.4316207622254065,0.4111346689501925,1102.0623647792088,0.1225347240909329,Healthy,train
21,30.749474511409,0.1743364331514434,0.5585116186149236,2020-10,Nagpur,1,10.0,63.903599083634994,78,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5590511633590886,0.0539279686742021,-0.0100049150270156,Healthy,0.5800082955617143,0.2027894258999601,159.32861502361666,29.97972708967524,1.1738008545508327,0.5541554863163395,0.5219281813678202,1007.2172085389416,0.0258528092453748,Healthy,train
22,30.046286501145392,0.1081747446514672,0.5167424714389524,2020-11,Nagpur,1,11.0,4.396519198436568,85,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5096088420266999,0.0417703682818497,0.1707820568906074,Healthy,0.5585116186149236,0.1743364331514434,63.903599083634994,30.749474511409,-0.0100049150270156,0.5800082955617143,0.5642251334976591,794.9266616616687,-0.0214966769467906,Healthy,train
23,28.430905694171305,0.0646758659493515,0.4616301826793687,2020-12,Nagpur,1,12.0,4.722678798952718,86,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.4432241690246712,0.0224225810993882,0.8208695320629054,Healthy,0.5167424714389524,0.1081747446514672,4.396519198436568,30.046286501145392,0.1707820568906074,0.5585116186149236,0.5517541285385301,227.62873330568823,-0.0417691471759712,Healthy,train
24,28.73499553662585,0.0247130940331248,0.4146706776844663,2021-01,Nagpur,1,1.0,9.98520084132456,93,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3958898818673215,0.0244644403941453,0.7676773110101172,Healthy,0.4616301826793687,0.0646758659493515,4.722678798952718,28.430905694171305,0.8208695320629054,0.5167424714389524,0.5122947575777482,73.02279708102428,-0.0551122887595836,Healthy,train
25,34.08169362281166,-0.0208638541827022,0.370755417252902,2021-02,Nagpur,1,2.0,8.414081778435541,78,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.3903991197571501,0.0312265681468542,-0.6290701690901936,Healthy,0.4146706776844663,0.0247130940331248,9.98520084132456,28.73499553662585,0.7676773110101172,0.4616301826793687,0.4643477772675957,19.104398838713845,-0.0469595049949023,Healthy,train
26,39.55330905439148,-0.1048931823086749,0.2673836599652355,2021-03,Nagpur,1,3.0,22.17794944175536,84,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2848007818856896,0.0384241227500699,-0.4532861305316963,Healthy,0.370755417252902,-0.0208638541827022,8.414081778435541,34.08169362281166,-0.6290701690901936,0.4146706776844663,0.4156854258722456,23.121961418712814,-0.0439152604315642,Healthy,train
27,44.92156354633485,-0.1404983078241445,0.2289662979314509,2021-04,Nagpur,1,4.0,5.553168845056936,89,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2383546067521396,0.0421430342770316,-0.2227724932897274,Healthy,0.2673836599652355,-0.1048931823086749,22.17794944175536,39.55330905439148,-0.4532861305316963,0.370755417252902,0.3509365849675346,40.57723206151546,-0.1033717572876665,Healthy,train
28,43.30573121969648,-0.1387318084707566,0.2100145498537476,2021-05,Nagpur,1,5.0,36.4060323214995,92,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2346292099072637,0.0508044264455251,-0.4844983355910755,Healthy,0.2289662979314509,-0.1404983078241445,5.553168845056936,44.92156354633485,-0.2227724932897274,0.2673836599652355,0.2890351250498628,36.14520006524784,-0.0384173620337846,Healthy,train
29,39.9976688724482,-0.0159181215714392,0.2883498476484262,2021-06,Nagpur,1,6.0,273.1995391352039,86,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2043646446066329,0.0669717076286226,1.2540400419161362,Healthy,0.2100145498537476,-0.1387318084707566,36.4060323214995,43.30573121969648,-0.4844983355910755,0.2289662979314509,0.2354548359168113,64.1371506083118,-0.0189517480777033,Healthy,train
30,35.65790781912391,0.0826870320156132,0.4204781668930151,2021-07,Nagpur,1,7.0,306.74227729336553,84,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.2667959308069386,0.1842021167361364,0.8343130839599486,Healthy,0.2883498476484262,-0.0159181215714392,273.1995391352039,39.9976688724482,1.2540400419161362,0.2100145498537476,0.2424435651445415,315.1587403017604,0.0783352977946786,Healthy,train
